Id,Start time,Completion time,Email,Name,What is your age group?,What is your occupation?,"Do you regularly use smart devices (e.g., smartphones, smart TVs, or smart speakers)?
","Which smart devices do you currently own?
",What is your typical morning routine? (Select all that apply),How often do you check the weather or news updates in the morning?,"How do you currently get your daily weather and news updates?
",Does checking your phone early in the morning for updates sometimes leads to wasting your time and making you late to start your day?,Do you find it challenging to keep up with daily news or weather updates due to a busy schedule?,"How useful do you think a smart mirror would be in your daily routine?
","Which features of a smart mirror would you find most useful?
","What concerns, if any, do you have about smart mirror technology?
","In your opinion, how could a smart mirror make your life easier? (Write in very short)
","Do you have any suggestions for additional features a smart mirror should include?
","Would you like to share any other thoughts or feedback regarding smart mirror technology?
"
11,12/29/2024 20:12,12/29/2024 20:16,anonymous,,26-40,Professional,Yes,Smartphone, Spending time on social media or phone,1,Smartphone apps;I don’t regularly check updates,2,Maybe,9,Weather updates;News updates,Dependence on smart home infrastructure,,,
12,12/29/2024 20:22,12/29/2024 20:24,anonymous,,18-25,Student,Yes,Smartphone;Smartwatch, Preparing for work/school,5,Smartphone apps,6,Maybe,9,Weather updates,Maintenance and durability,,,
13,12/29/2024 20:15,12/29/2024 20:26,anonymous,,41-60,Professional,Yes,"Smartphone;Smartwatch;Smart speaker (e.g., Alexa, Google Home);Smart TV", Checking weather/news; Spending time on social media or phone,7,Smartphone apps,6,Yes,6,Weather updates;News updates,Dependence on smart home infrastructure,Honestly I dont know about this.,I think AI should be incorporated at least free version.,NA
14,12/29/2024 20:22,12/29/2024 20:26,anonymous,,18-25,Student,Yes,Smartphone,Exercising,1,I don’t regularly check updates,7,Maybe,6,Weather updates;Emotion detection and motivational feedback,Dependence on smart home infrastructure,"By giving feedback on my outfits, fixing the lighting for pictures and daily reminders","While basics things are good for the display, schedules and routines would be the best use for it i guess. Outfit recognition and feedback would also be good.",Privacy concerns and dependency on the use of more technology.
15,12/29/2024 20:23,12/29/2024 20:28,anonymous,,18-25,Professional,Yes,"Smartphone;Smartwatch;Smart speaker (e.g., Alexa, Google Home);Smart TV", Spending time on social media or phone; Checking weather/news,2,I don’t regularly check updates,4,Yes,8,Weather updates;News updates;Emotion detection and motivational feedback,Maintenance and durability,"Quick easy access to information like news, weather.","To-do list/ Daily Remiders. Routine tracker (Morning routine for facewash, etc)",Durabilty would be a major concern along with adaptability to available infrastructure. Anti-fogging on the mirrors would be a necessity.
16,12/29/2024 20:12,12/29/2024 20:30,anonymous,,41-60,Retired,Yes,Smartphone;Smartwatch;Smart TV, Spending time on social media or phone,1,Smartphone apps,3,No,5,News updates;Weather updates,Accuracy of face recognition/emotion detection,Eassy to recognize face with clear apperarance. ,Its ok. I donot have any suggesstion. ,Ok.
17,12/29/2024 20:29,12/29/2024 20:32,anonymous,,18-25,Self-Employed,Yes,Smartphone, Spending time on social media or phone,4,Smartphone apps,10,Yes,4,Personalized greetings,Maintenance and durability,Surely ,Not really ,Privacy 
18,12/29/2024 20:33,12/29/2024 20:35,anonymous,,18-25,Student,Yes,Smartphone, Preparing for work/school,1,Smartphone apps;I don’t regularly check updates,6,Yes,9,Weather updates;News updates;Personalized greetings,I don’t have any concerns,,,
19,12/29/2024 20:34,12/29/2024 20:36,anonymous,,41-60,Professional,Yes,Smartphone, Checking weather/news,3,Smartphone apps,3,Maybe,5,Weather updates;News updates,Maintenance and durability,News update,No,No
20,12/29/2024 20:38,12/29/2024 20:40,anonymous,,18-25,Self-Employed,Yes,Smartphone;Smartwatch;Smart TV, Checking weather/news;Exercising,8,Smartphone apps,4,No,1,None of the above,I don’t have any concerns,,,
21,12/29/2024 20:41,12/29/2024 20:45,anonymous,,41-60,Self-Employed,Yes,Smartphone;Smartwatch;Smart TV,Exercising,0,Smartphone apps,1,No,0,None of the above,I don’t have any concerns,,,
22,12/29/2024 20:46,12/29/2024 20:47,anonymous,,18-25,Student,Yes,Smartphone;Smart TV, Spending time on social media or phone,1,Smartphone apps,3,Yes,8,Weather updates;Emotion detection and motivational feedback,Maintenance and durability,,,
23,12/29/2024 20:45,12/29/2024 20:49,anonymous,,18-25,Employee ,Yes,"Smartphone;Smart TV;Smart speaker (e.g., Alexa, Google Home)", Spending time on social media or phone,5,Smartphone apps,10,Yes,8,Weather updates;News updates,Maintenance and durability,Saving my time,Musical features,Nothing more
24,12/29/2024 20:52,12/29/2024 20:58,anonymous,,41-60,Homemaker,Yes,"Smartphone;Smartwatch;Smart speaker (e.g., Alexa, Google Home);Smart TV", Checking weather/news;Exercising; Spending time on social media or phone,9,Smartphone apps;TV news channels;Smart speakers,8,Yes,10,Personalized greetings;Weather updates;News updates;Emotion detection and motivational feedback,Dependence on smart home infrastructure,It will save my time to use smart phone and other  smart gadgets.,No.,NO.
25,12/29/2024 20:58,12/29/2024 20:59,anonymous,,18-25,Student,Yes,Smartphone;Smartwatch;Smart TV, Preparing for work/school,5,Smartphone apps,6,No,2,Weather updates,Dependence on smart home infrastructure,,,
26,12/29/2024 20:59,12/29/2024 21:06,anonymous,,41-60,Professional,Yes,Smartphone, Spending time on social media or phone; Preparing for work/school,1,I don’t regularly check updates,9,Maybe,8,Weather updates;News updates;Emotion detection and motivational feedback,Maintenance and durability,,,
27,12/29/2024 20:47,12/29/2024 21:07,anonymous,,41-60,Homemaker,Yes,Smartphone,Doing house chores ,2,Smartphone apps,6,No,0,None of the above,I don’t have any concerns,So sorry  i haven't used yet .,Don't know about it .,Haven't used but eager to know  about it .
28,12/29/2024 21:02,12/29/2024 21:09,anonymous,,41-60,Self-Employed,Yes,"Smartphone;Smartwatch;Smart TV;Smart speaker (e.g., Alexa, Google Home);Acon", Preparing for work/school; Checking weather/news,7,Smartphone apps,5,No,1,None of the above,I don’t have any concerns,I have never used smart mirror ,N/A,No comment 
29,12/29/2024 20:59,12/29/2024 21:09,anonymous,,41-60,Self-Employed,Yes,Smartphone, Preparing for work/school,8,Smartphone apps,5,No,1,None of the above,I don’t have any concerns,I have never used. ,No comment. ,No comment. 
30,12/29/2024 21:12,12/29/2024 21:17,anonymous,,41-60,House wife,Yes,Smartphone, Spending time on social media or phone,10,Smartphone apps,5,Yes,8,Weather updates;News updates;Emotion detection and motivational feedback,Cost of the device,,,
31,12/29/2024 21:16,12/29/2024 21:20,anonymous,, Below 18,Student,Yes,Smartphone;Personal computer laptops , Preparing for work/school; Spending time on social media or phone,4,Smartphone apps,10,Maybe,5,Emotion detection and motivational feedback;Weather updates;Personalized greetings,Cost of the device,Smart and a mirror,Telling people especially women to do their make up quickly and not waste time,Very smart mirror (I don't know what smart mirror is)
32,12/29/2024 21:26,12/29/2024 21:27,anonymous,,18-25,Student,Yes,"Smartphone;Smartwatch;Smart speaker (e.g., Alexa, Google Home)", Preparing for work/school;Exercising; Spending time on social media or phone,5,Smartphone apps;Smart speakers,10,No,8,Personalized greetings,Cost of the device,,,
33,12/29/2024 22:03,12/29/2024 22:04,anonymous,, Below 18,Student,Yes,Smartphone, Preparing for work/school;Exercising,3,Smartphone apps,5,Maybe,10,Emotion detection and motivational feedback;Weather updates;Personalized greetings,Accuracy of face recognition/emotion detection,,,
34,12/29/2024 22:08,12/29/2024 22:10,anonymous,,18-25,Student,Yes,Smartwatch;Smart TV;Smartphone, Checking weather/news; Preparing for work/school;Exercising; Spending time on social media or phone,5,Smartphone apps;Newspaper,2,Yes,4,Personalized greetings;Weather updates;News updates;Emotion detection and motivational feedback,Cost of the device,,,
35,12/29/2024 22:38,12/29/2024 22:43,anonymous,,18-25,Student,Yes,"Smartphone;Smartwatch;Smart speaker (e.g., Alexa, Google Home);Smart TV", Preparing for work/school; Checking weather/news;Exercising,6,Smartphone apps,6,Yes,10,Personalized greetings;Weather updates;News updates;Emotion detection and motivational feedback,Accuracy of face recognition/emotion detection,"I don't have to waste time Googling for weather/new updates looking for some authentic sources, easy access to biometric specific appliance.","Provide a quote based on emotion recognition, so that a person would feel better anytime.",It can have a very wide scope if implemented successfully.
36,12/29/2024 22:27,12/29/2024 22:51,anonymous,,26-40,Machine operator ,Yes,"Smartphone;Smart speaker (e.g., Alexa, Google Home);Smart TV",Exercising,7,Smartphone apps,6,Yes,7,Weather updates,Cost of the device,"It can keep you safe, parents can put tracking device on a child’s phone so that they can see if they are doing something illegal, harmful to others and themselves, it could also help if a child ends up in danger, they could track where they are and rescue them. In my opinion tracking devices can help prevent kidnappings from happening more and help parents keep their child safe.","I believe we would add an age restriction app, kids May lie about their age in a game that is for 18* or website that are not meant for kids to view.",Yes
37,12/29/2024 22:49,12/29/2024 22:59,anonymous,,41-60,Currently free,Yes,Smartphone;Smartwatch;Smart TV, Checking weather/news;Exercising; Spending time on social media or phone,9,Smartphone apps,0,No,2,Weather updates;News updates;Emotion detection and motivational feedback,I don’t have any concerns,Not very much optimistic about the product,No.,No
38,12/30/2024 0:45,12/30/2024 0:49,anonymous,,26-40,Unemployed ,Yes,Smartphone;Smart TV, Spending time on social media or phone,1,Smartphone apps,5,No,10,Weather updates,I don’t have any concerns,Possibility of brightening up my day seamlessly.,Color detection for visually impaired individuals.,Maximize utility.
39,12/30/2024 1:05,12/30/2024 1:12,anonymous,,26-40,Professional,Yes,"Smartphone;Smartwatch;Smart speaker (e.g., Alexa, Google Home)", Spending time on social media or phone; Preparing for work/school; Checking weather/news,10,Smartphone apps;Smart speakers,10,No,10,Weather updates;News updates;Emotion detection and motivational feedback;Personalized greetings,Cost of the device,There are numerous features that can be included into smart mirror which has numerous benefits.,Face analysis and recommending skin care products or makeup products ,Definitely waiting to have one 
40,12/30/2024 1:50,12/30/2024 2:01,anonymous,,41-60,Professional,Yes,Smartwatch;Smartphone, Spending time on social media or phone,5,Smartphone apps,8,Yes,4,Emotion detection and motivational feedback;Weather updates;News updates,I don’t have any concerns,Easy access to update the current situation .,nothing.,needed to all smart mirror basically for the females candidate because women need  to be empower on their life .  
41,12/30/2024 2:23,12/30/2024 2:34,anonymous,,26-40,Professional,Yes,Smartphone, Preparing for work/school,2,Smartphone apps,6,Yes,7,Weather updates;News updates;Emotion detection and motivational feedback,Maintenance and durability,Update daily news n current events ,Self motivated apps ,It is helpful in my daily life.
42,12/30/2024 2:43,12/30/2024 2:45,anonymous,,18-25,Student,Yes,"Smartphone;Smart speaker (e.g., Alexa, Google Home);Smart TV", Preparing for work/school,5,Smartphone apps;I don’t regularly check updates,7,Maybe,5,Emotion detection and motivational feedback,Cost of the device,,,
43,12/30/2024 7:15,12/30/2024 7:17,anonymous,,18-25,Student,Yes,Smartphone;Smart TV, Spending time on social media or phone; Preparing for work/school,5,Smartphone apps,10,Yes,10,News updates,Accuracy of face recognition/emotion detection,,,
44,12/30/2024 7:17,12/30/2024 7:21,anonymous,,18-25,Student,Yes,Smartphone, Checking weather/news,6,Smartphone apps,5,Maybe,5,News updates,Cost of the device,"Display of daily updates like weather, calendar, and events ","Health monitoring, voice control. ",Should prioritize privacy 
45,12/30/2024 7:59,12/30/2024 8:03,anonymous,,18-25,Student,Yes,Smartphone, Preparing for work/school; Spending time on social media or phone,7,Smartphone apps,9,Yes,10,Weather updates,I don’t have any concerns,,,
46,12/30/2024 8:13,12/30/2024 8:15,anonymous,,18-25,Student,Yes,"Smartphone;Smartwatch;Smart speaker (e.g., Alexa, Google Home);Smart TV", Spending time on social media or phone,5,Smartphone apps,7,Yes,10,Personalized greetings;Weather updates;News updates,Cost of the device,,,
47,12/30/2024 9:10,12/30/2024 9:17,anonymous,,18-25,Student,Yes,Smartphone;Smartwatch;Smart TV, Preparing for work/school; Checking weather/news;Exercising; Spending time on social media or phone,1,Smartphone apps,0,Maybe,10,Personalized greetings;Weather updates;News updates;Emotion detection and motivational feedback,Cost of the device,"If one look at it told me what my day's gonna be like, it'd be very useful.",Music player,"Nothing really. Actually, I've already made one myself for my college project. I'd love to see yours too."
48,12/30/2024 9:45,12/30/2024 9:51,anonymous,,26-40,Professional,Yes,Smartphone;Smartwatch;Smart TV, Preparing for work/school,10,Smartphone apps,3,Maybe,10,Weather updates;News updates;Emotion detection and motivational feedback,Accuracy of face recognition/emotion detection,"May be setting up some reminders, alarms, of special days or event days ",May period tracking cycle for people with irregular periods,None 
49,12/30/2024 9:58,12/30/2024 10:05,anonymous,,41-60,Self-Employed,Yes,Smartphone;Smart TV, Checking weather/news,5,Smartphone apps,5,Yes,5,News updates,Cost of the device,I don't have idea,No,Of course
50,12/30/2024 10:08,12/30/2024 10:11,anonymous,,26-40,Professional,Yes,Smartphone, Preparing for work/school,1,I don’t regularly check updates,0,No,0,News updates,Cost of the device,No idea,No,No
51,12/30/2024 10:14,12/30/2024 10:20,anonymous,,41-60,Professional,Yes,"Smartphone;Smart TV;Smart speaker (e.g., Alexa, Google Home)", Spending time on social media or phone,7,Smartphone apps,5,No,5,Weather updates;News updates,I don’t have any concerns,I don't know.,Na,Na
52,12/30/2024 10:38,12/30/2024 10:43,anonymous,,18-25,Professional,Yes,Smartphone, Preparing for work/school,7,Smartphone apps,10,Yes,10,News updates;Weather updates,Cost of the device,It will help me to stay informed and be multitasking.,Not yet.,I would like to have smart mirror to have home automation as well like turning on lights and AC.
53,12/30/2024 11:07,12/30/2024 11:17,anonymous,,41-60,compuer desktop/techical,Yes,Smartphone,Exercising,1,Newspaper,3,No,10,Personalized greetings,I don’t have any concerns,working update,no,nothing
54,12/30/2024 11:53,12/30/2024 11:59,anonymous,,41-60,Foreign job,Yes,Smartphone;Smartwatch;Smart TV, Spending time on social media or phone,2,Smartphone apps;I don’t regularly check updates,8,No,8,News updates,I don’t have any concerns,Updated news and weather forecast,No,No
55,12/30/2024 13:00,12/30/2024 13:08,anonymous,,41-60,Self-Employed,Yes,Smartphone,Exercising,1,Smartphone apps,1,No,3,None of the above,Cost of the device,As usual ,I don’t have any suggestions ,No
56,12/30/2024 13:27,12/30/2024 13:29,anonymous,,26-40,Self-Employed,Yes,Smartphone, Spending time on social media or phone,3,Smartphone apps,7,No,5,Emotion detection and motivational feedback,I don’t have any concerns,,,
57,12/30/2024 16:44,12/30/2024 16:59,anonymous,,Above 60,Retired,Yes,"Smart speaker (e.g., Alexa, Google Home);Smart TV;Smartwatch;Smartphone", Checking weather/news;Exercising; Spending time on social media or phone,8,Smartphone apps,8,Yes,9,Weather updates;News updates,Cost of the device,Smart mirror make my life so easier. That is why I used to apply by my phone and computer laptop.,"Free Wi-Fi. Much appreciated if you could manage to provide it so that most of the time, we could get many more information while we are out of home.","For your information, Due to help of google navigation recently I could visit and explore the main tourist area in Europe countries e.g. France, Malmo Sweden, Antwerpen, Belgium, Latvia, Estonia, Warshaw Polland."
58,12/30/2024 16:51,12/30/2024 17:02,anonymous,,26-40,Professional,Yes,Smartphone;Smartwatch, Checking weather/news; Preparing for work/school; Spending time on social media or phone,7,Smartphone apps,4,No,8,News updates,I don’t have any concerns,,,
59,12/30/2024 17:19,12/30/2024 17:20,anonymous,,18-25,Student,Yes,Smartphone, Spending time on social media or phone; Preparing for work/school,3,Smartphone apps,8,Maybe,6,News updates;Emotion detection and motivational feedback,Cost of the device,,,
60,12/30/2024 20:10,12/30/2024 20:15,anonymous,,41-60,Professional,Yes,Smartphone, Spending time on social media or phone,7,Smartphone apps,2,No,8,News updates,Dependence on smart home infrastructure,Easy access.,No idea.,No idea.
61,12/30/2024 23:03,12/30/2024 23:10,anonymous,,26-40,Professional,Yes,Smartphone, Preparing for work/school; Checking weather/news,8,Smartphone apps,9,Yes,8,Personalized greetings;Weather updates,I don’t have any concerns,"A smart mirror makes life easier by showing things like the weather, calendar, and reminders while you get ready. It can track workouts, give grooming tips, and control smart devices, helping you save time and stay organized.",Not at all.,"It makes our life easier .It shows weather,calenders and reminders.It tracks workouts and gives grooming tips.We can also control smart devices hands free.It keeps us organized and saves time."
62,12/30/2024 23:21,12/30/2024 23:25,anonymous,,41-60,Professional,Yes,Smartphone, Checking weather/news;Exercising,10,Smartphone apps,7,Maybe,2,Personalized greetings;Weather updates;News updates,I don’t have any concerns,,,
63,12/31/2024 9:11,12/31/2024 9:20,anonymous,,26-40,Professional,Yes,Smartphone;Smart TV, Preparing for work/school,4,Smartphone apps,8,Maybe,7,Emotion detection and motivational feedback,Accuracy of face recognition/emotion detection,"A smart mirror could make life easier by providing hands-free access to essential information like weather, news, calendar events, and health data while getting ready and saving time.",Voice Assistant Integration for hands-free control.,"privacy and data security are key concerns, as personal information like health metrics and facial recognition data would need robust protection."
64,12/31/2024 10:27,12/31/2024 10:29,anonymous,,26-40,Professional,Yes,Smartphone;Smart TV, Spending time on social media or phone,1,I don’t regularly check updates,10,Maybe,5,None of the above,I don’t have any concerns,,,
65,12/31/2024 16:06,12/31/2024 16:06,anonymous,,18-25,Student,Yes,Smartphone, Checking weather/news,8,Smartphone apps,6,Yes,8,Personalized greetings;Weather updates,Cost of the device,,,
66,12/31/2024 19:47,12/31/2024 19:50,anonymous,,18-25,Self-Employed,Yes,Smartphone;Smartwatch;Smart TV, Spending time on social media or phone,1,I don’t regularly check updates,10,Yes,3,None of the above,Maintenance and durability,,,
67,1/1/2025 18:16,1/1/2025 18:18,anonymous,,26-40,Professional,Yes,"Smartphone;Smartwatch;Smart speaker (e.g., Alexa, Google Home);Smart TV", Spending time on social media or phone,10,Smartphone apps;Smart speakers,4,Yes,0,None of the above,I don’t have any concerns,I have no idea about smart mirror,,
68,1/2/2025 8:05,1/2/2025 8:10,anonymous,,41-60,Professional,Yes,"Smartphone;Smartwatch;Smart TV;Smart speaker (e.g., Alexa, Google Home)", Spending time on social media or phone; Checking weather/news; Preparing for work/school,6,Smartphone apps;Newspaper;TV news channels,5,No,7,Personalized greetings;News updates,Cost of the device,It can update me current situation in the country and world.,It would be better if it can include motivational materials.,NA
69,1/5/2025 7:58,1/5/2025 8:00,anonymous,,18-25,Student,Yes,"Smartphone;Smartwatch;Smart speaker (e.g., Alexa, Google Home);Smart TV", Checking weather/news; Preparing for work/school,9,Smartphone apps,8,Yes,10,Personalized greetings;Weather updates,Accuracy of face recognition/emotion detection,,,
70,1/5/2025 8:00,1/5/2025 8:01,anonymous,,26-40,Professional,Yes,Smartphone;Smart TV, Preparing for work/school;Exercising; Checking weather/news,10,Smartphone apps;Newspaper,10,Maybe,10,News updates,Maintenance and durability,,,
71,1/8/2025 19:01,1/8/2025 19:12,anonymous,,18-25,Self-Employed,Yes,Smartphone, Checking weather/news; Spending time on social media or phone,6,Smartphone apps,7,No,6,News updates,Dependence on smart home infrastructure,"Depends on the features of the smart mirror, if it's weather updates and news displays, it sure will look cool but I don't think it will make my life easier. ","No comments
","No so familiar with the smart mirror technology so, no comments. "
72,1/8/2025 19:24,1/8/2025 19:24,anonymous,,18-25,Student,Yes,Smartphone, Checking weather/news,6,Newspaper;Smart speakers;TV news channels;Smartphone apps,5,No,5,Weather updates,Dependence on smart home infrastructure,,,
